Date,Time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftElbow_x,LeftElbow_y,LeftElbow_z,LeftWrist_xLeftWrist_y,,LeftWrist_z,LeftHand_x,LeftHand_y,LeftHand_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightElbow_x,RightElbow_y,RightElbow_z,RightWrist_x,RightWrist_y,RightWrist_z,RightHand_x,RightHand_y,RightHand_z,,,
2015-01-12,11:33:36.632,-141.4933,276.3717,-1258.735,-116.1586,126.6655,-1325.329,-260.6036,58.60249,-1347.284,-280.8098,-92.95004,-1403.906,-236.9937,-254.9007,-1420.413,-222.3884,-308.8842,-1428.78,23.02512,103.5275,-1392.371,133.2929,-60.02062,-1452.377,252.8446,-176.7994,-1472.904,307.5927,-219.5146,-1449.211,,,
2015-01-12,11:33:36.733,-151.7805,274.8975,-1257.619,-119.798,128.6925,-1325.113,-264.1422,60.56306,-1346.925,-283.9192,-86.3536,-1412.351,-242.8773,-250.4165,-1415.896,-229.1967,-305.1041,-1419.943,14.66234,105.7531,-1386.436,121.3132,-49.33955,-1445.324,241.1523,-163.4767,-1473.604,296.0928,-206.7964,-1451.56,,,
2015-01-12,11:33:36.822,-157.8697,275.7034,-1257.4,-121.8909,130.5127,-1326.583,-266.1971,62.34544,-1348.302,-241.348,-104.5065,-1347.551,-264.3022,-240.0924,-1437.984,-247.2063,-289.6494,-1424.204,11.64838,105.5462,-1383.862,121.8715,-50.11898,-1445.357,242.4921,-164.3157,-1470.329,262.8622,-170.1503,-1436.616,,,
2015-01-12,11:33:36.908,-159.2013,275.6507,-1257.867,-121.6045,131.7122,-1332.583,-265.9108,63.53474,-1354.229,-272.5781,-113.7372,-1400.3,-244.0644,-275.8782,-1431.906,-235.3825,-328.2177,-1420.852,11.1579,105.3495,-1383.319,128.238,-59.67646,-1451.202,254.865,-171.5503,-1455.591,297.0739,-208.8416,-1459.919,,,
2015-01-12,11:33:36.981,-162.1316,276.375,-1259.906,-121.2408,133.1754,-1337.26,-265.5464,64.99715,-1358.888,-274.2779,-112.2283,-1400.856,-243.0736,-273.6224,-1433.497,-232.6722,-327.4204,-1447.242,11.12935,105.2836,-1382.755,134.8916,-62.60257,-1448.834,262.2214,-176.1217,-1451.025,304.6647,-213.9614,-1454.619,,,
2015-01-12,11:33:37.071,-163.1503,276.5244,-1260.847,-120.1737,133.8249,-1339.844,-264.4791,65.64736,-1361.469,-275.6545,-110.854,-1401.21,-241.3666,-271.877,-1432.883,-234.0688,-324.0319,-1420.213,11.56653,104.2004,-1382.502,142.8315,-65.23873,-1447.123,317.513,-213.2957,-1426.454,375.7402,-262.648,-1422.429,,,
2015-01-12,11:33:37.156,-165.0887,276.5862,-1262.497,-119.829,134.6751,-1340.892,-264.1339,66.49821,-1362.514,-273.9786,-111.6689,-1405.194,-240.4391,-274.1264,-1431.391,-234.6701,-326.2406,-1417.904,12.11263,103.7764,-1382.553,144.1931,-65.52596,-1446.161,320.333,-211.8195,-1425.023,360.1589,-246.792,-1413.983,,,
2015-01-12,11:33:37.260,-165.3977,276.5249,-1262.935,-121.2494,135.2048,-1340.812,-265.5537,67.02853,-1362.434,-264.399,-149.5447,-1420.795,-328.7911,4.768565,-1384.681,-350.2552,56.20631,-1375.506,12.09518,103.5181,-1382.905,145.1395,-65.24612,-1445.928,328.1765,-201.4779,-1414.924,369.4749,-233.8272,-1401.677,,,
2015-01-12,11:33:37.342,-165.7437,276.4181,-1262.741,-124.9282,135.3961,-1337.061,-269.2323,67.22045,-1358.681,-311.2414,-73.43021,-1426.421,-222.5918,-216.046,-1395.316,-205.7064,-287.0191,-1389.493,10.85998,103.7398,-1383.733,143.4891,-65.14022,-1447.07,296.4765,-163.8452,-1407.367,354.7293,-199.1437,-1380.594,,,
2015-01-12,11:33:37.423,-165.4628,274.243,-1260.26,-129.4443,133.6744,-1332.062,-273.7481,65.49921,-1353.682,-306.2139,-74.81726,-1425.969,-243.106,-231.5448,-1405.384,-248.1304,-237.5995,-1400.188,5.432721,106.639,-1383.498,130.9919,-51.53242,-1444.834,255.9628,-118.9146,-1318.098,314.1917,-133.2121,-1246.952,,,
